ParticipantID,F0_MANIPULATION,Attractive_LTR_F0,Attractive_STR_F0,Attractiveness_REL_F0,HEALTH_RATING_F0,DISEASE_RATING_F0,DISFREW_RATING_F0,DISSEV_RATING_F0,OVERALL_HEALTH_F0
2,1,5.75,7.5,6.625,5.25,5,5.5,5,5.1875
2,2,4,4.5,4.25,3.75,4.5,4,3.5,3.9375
3,1,6.25,6.25,6.25,5.75,5.25,5.75,3.5,5.0625
3,2,3.5,1.75,2.625,4.5,5,5.5,3.25,4.5625
5,1,5.75,6,5.875,5.75,5.5,6.75,5.25,5.8125
5,2,5,5.25,5.125,8,6.5,7.25,6,6.9375
7,1,5.5,5.25,5.375,4.75,5.75,5.75,6.75,5.75
7,2,4,4.25,4.125,5.75,5.5,5.75,5,5.5
10,1,5,7.25,6.125,5.5,6,6,4,5.375
10,2,3.75,3.25,3.5,4.75,3,6.5,4.25,4.625
12,1,4.25,4,4.125,5.25,5.25,4,6,5.125
12,2,5.5,3.5,4.5,5,7,5.75,6.25,6
14,1,4.5,5.75,5.125,4.5,4,4.25,5.25,4.5
14,2,5.25,5.75,5.5,6.5,5,5.75,6.25,5.875
16,1,7,7.75,7.375,7.5,7.25,6.25,6.75,6.9375
16,2,5.25,6.75,6,6,4.5,5,5.25,5.1875
18,1,6.5,5.25,5.875,6.75,6,6.25,6.5,6.375
18,2,4.25,4,4.125,4.5,3.5,5.25,4.75,4.5
20,1,5.75,6.25,6,5.25,6.5,4.25,7.5,5.875
20,2,4.75,5,4.875,3.75,4.5,5.5,5.5,4.8125
21,1,4.75,5,4.875,5.25,5,6,5.25,5.375
21,2,4.75,5,4.875,4.25,3,5,3.5,3.9375
22,1,4.25,3.75,4,7.25,6.75,7.5,7,7.125
22,2,3.25,3,3.125,4.75,6,5.75,5.75,5.5625
23,1,5.5,4.75,5.125,7,4.5,5.75,4.75,5.5
23,2,5.25,5.5,5.375,4.5,5.5,4.5,5.5,5
26,1,8.25,7,7.625,7.75,8.75,8.75,8.5,8.4375
26,2,4.75,4,4.375,6.75,3,5.75,5.5,5.25
29,1,6.75,7,6.875,4.75,5.75,6.75,3,5.0625
29,2,3.5,4.25,3.875,4.75,3.5,4.75,4.25,4.3125
30,1,6.5,6.25,6.375,6.25,5,4,6.75,5.5
30,2,5.5,5.75,5.625,6.25,5,6.25,4.75,5.5625
32,1,5.75,4.5,5.125,5.75,5,6.5,4.5,5.4375
32,2,4.5,4,4.25,5,4,4.5,4.25,4.4375
36,1,5.25,3.75,4.5,4.5,5,5,5,4.875
36,2,2.5,3.75,3.125,6,5,5,5,5.25
37,1,5.75,7.25,6.5,6,6.25,5.5,6,5.9375
37,2,3.5,5.75,4.625,5.5,5,4.75,5.5,5.1875
39,1,4.75,4.75,4.75,5.5,4.5,5.5,5.5,5.25
39,2,5.25,5.5,5.375,4.5,4,5,5.5,4.75
40,1,6,5.75,5.875,7.5,9,5.75,7,7.3125
40,2,4.5,5.25,4.875,7.75,9,6.5,3.75,6.75
43,1,6.75,7.25,7,8.5,6.25,6,7,6.9375
43,2,4.25,6.75,5.5,7.25,2,4.75,4.5,4.625
47,1,5.5,7,6.25,4.75,7.75,6,5.5,6
47,2,3.5,5.25,4.375,5,8,4.5,4.75,5.5625
56,1,5.5,4.5,5,5.25,4.5,3.75,6.25,4.9375
56,2,5.75,6,5.875,5.75,3.5,4,5.75,4.75
57,1,6.25,8.5,7.375,6,6.75,6.75,6.25,6.4375
57,2,2.75,5.75,4.25,3.25,2,5.25,7.5,4.5
59,1,5.25,5.25,5.25,6.5,7.25,6.5,6,6.5625
59,2,6.5,6.25,6.375,7.75,7.5,6.25,6.25,6.9375
61,1,3.5,5.75,4.625,5.5,6.25,3,3.75,4.625
61,2,3.75,4,3.875,5,6,6.75,4.25,5.5
63,1,6,7,6.5,4.5,2.75,3,5.25,3.875
63,2,4.75,4.75,4.75,5.25,4,2.75,5.5,4.375
65,1,7.75,5.25,6.5,7,8,9,5.25,7.3125
65,2,1,1,1,3.75,3,3.75,4.5,3.75
67,1,8,9,8.5,8,2.75,6,2,4.6875
67,2,5,7,6,6,8,2,3,4.75
68,1,5.75,6,5.875,8,8,6.5,5.25,6.9375
68,2,6.5,6.25,6.375,8.25,7,7.5,7.25,7.5
71,1,4.5,6,5.25,7.25,5.5,8,5.75,6.625
71,2,4.75,5,4.875,5.5,5,5,5,5.125
76,1,6,5.75,5.875,7.25,5.25,5.25,6,5.9375
76,2,4.25,3.5,3.875,6.25,4.5,6,5,5.4375
80,1,4,5.5,4.75,5.75,8.75,7.75,5.75,7
80,2,3.25,4.5,3.875,3,2,4.75,4,3.4375
85,1,7.25,7,7.125,7,6.5,6.5,6.5,6.625
85,2,5.75,4,4.875,6.5,4.5,4.5,6,5.375
87,1,4.25,4.75,4.5,5.25,4.5,5,5.25,5
87,2,4.75,5,4.875,4.5,5.5,4.75,4.75,4.875
