ParticipantID,VOICE_NUMBER,VOICE_TYPE,HEALTH,ATTRACTIVENESS
10,1,1,6.25,1
10,2,1,4.75,1
10,3,1,6.25,1
10,4,1,6,1
10,5,1,6.75,6
10,6,1,6.75,6
10,7,1,4.5,1
10,8,1,7.5,6
10,9,1,5.25,1
10,10,2,5,.0476190476190476
10,11,2,6,4
10,12,2,6,1
10,13,2,6.25,6
10,14,2,6,1
10,15,2,6,4.5
10,16,2,6,4.5
10,17,2,6.75,7
10,18,2,5.25,1
10,19,2,6.5,4
10,20,1,6.75,.238095238095238
64,1,1,2.75,1
64,2,1,3.25,1
64,3,1,3.75,2
64,4,1,4,3
64,5,1,8,8
64,6,1,8,8
64,7,1,7,7.5
64,8,1,5.75,5
64,9,1,8.5,8
64,10,2,7.75,.380952380952381
64,11,2,6,3.5
64,12,2,3,1.5
64,13,2,3,1.5
64,14,2,5.75,4.5
64,15,2,2.75,1
64,16,2,2.75,1
64,17,2,3.75,2
64,18,2,3.5,1.5
64,19,2,1.75,4.5
64,20,1,3,.166666666666667
87,1,1,6.5,1
87,2,1,7.25,1
87,3,1,7.5,2.5
87,4,1,8.5,4
87,5,1,5.25,3.5
87,6,1,5.25,3.5
87,7,1,3.75,2
87,8,1,4.5,2
87,9,1,3.75,1
87,10,2,4,.0476190476190476
87,11,2,5.5,3
87,12,2,4.25,1
87,13,2,8.5,3.5
87,14,2,6.75,4
87,15,2,6.25,1
87,16,2,6.25,1
87,17,2,8,4
87,18,2,7.5,3.5
87,19,2,6.25,2.5
87,20,1,5.75,.0476190476190476
90,1,1,5.25,2
90,2,1,6.25,1
90,3,1,6,2.5
90,4,1,5.25,3
90,5,1,5.25,8
90,6,1,5.25,8
90,7,1,5.5,4
90,8,1,4.75,7
90,9,1,6,8
90,10,2,4.25,.30952380952381
90,11,2,4.75,3.5
90,12,2,5,5.5
90,13,2,6.25,4.5
90,14,2,3.5,5.5
90,15,2,6,2
90,16,2,6,2
90,17,2,5,5
90,18,2,6,5
90,19,2,5.5,4.5
90,20,1,5,.261904761904762
123,1,1,5.5,1.5
123,2,1,6,5
123,3,1,5.25,3
123,4,1,8.5,6
123,5,1,8,7
123,6,1,8,7
123,7,1,2.75,2.5
123,8,1,7.25,4.5
123,9,1,5.75,7
123,10,2,2.75,.0714285714285714
123,11,2,6,5
123,12,2,3.5,1
123,13,2,8.5,7.5
123,14,2,5.25,2.5
123,15,2,1.75,1
123,16,2,1.75,1
123,17,2,5,3
123,18,2,5,2
123,19,2,3.5,4.5
123,20,1,4.5,.238095238095238
17,1,1,5.75,2
17,2,1,5.5,2
17,3,1,3.75,2
17,4,1,4.75,4.5
17,5,1,4.5,6.5
17,6,1,4.5,6.5
17,7,1,2.5,5
17,8,1,5.75,8.5
17,9,1,3.25,4.5
17,10,2,4,.30952380952381
17,11,2,3.75,2
17,12,2,3.75,2.5
17,13,2,5,2.5
17,14,2,3.25,5
17,15,2,5.25,2
17,16,2,5.25,2
17,17,2,5,2
17,18,2,6,3.5
17,19,2,3.75,5
17,20,1,3.25,.166666666666667
46,1,1,5.5,3
46,2,1,6,2.5
46,3,1,5.75,3.5
46,4,1,8,6
46,5,1,7.75,7.5
46,6,1,7.75,7.5
46,7,1,4.75,1.5
46,8,1,6.5,9
46,9,1,5.75,5.5
46,10,2,4.25,.238095238095238
46,11,2,5.5,5.5
46,12,2,5.25,3.5
46,13,2,7,5
46,14,2,6.5,2.5
46,15,2,5,2.5
46,16,2,5,2.5
46,17,2,3.25,3
46,18,2,5,2.5
46,19,2,6.25,5
46,20,1,4.25,.0476190476190476
62,1,1,5.75,1.5
62,2,1,5,2
62,3,1,5.75,2
62,4,1,5.25,2.5
62,5,1,5.5,3
62,6,1,5.5,3
62,7,1,4.75,2
62,8,1,5.5,3
62,9,1,4.25,2.5
62,10,2,5.5,.0952380952380952
62,11,2,5.75,2
62,12,2,4.75,2
62,13,2,5.5,2
62,14,2,5.5,2
62,15,2,5,2
62,16,2,5,2
62,17,2,5.5,2
62,18,2,4.25,1.5
62,19,2,4.75,2
62,20,1,5,.0952380952380952
80,1,1, ,5
80,2,1, ,1.5
80,3,1, ,5
80,4,1, ,5
80,5,1, ,6
80,6,1, ,6
80,7,1, ,4.5
80,8,1, ,6
80,9,1, ,7.5
80,10,2, ,.214285714285714
80,11,2, ,3
80,12,2, ,2
80,13,2, ,7
80,14,2, ,5.5
80,15,2, ,4.5
80,16,2, ,4.5
80,17,2, ,4.5
80,18,2, ,5
80,19,2, ,6
80,20,1, ,.19047619047619
86,1,1,6.25,4
