ParticipantID,VOICE_NUMBER,VOICE_TYPE,HEALTH,DOMINANCE
2,1,1,5.5,7
2,2,1,4.25,5.5
2,3,1,4.25,4.5
2,4,1,3.75,3
2,5,1,6.25,4
2,6,1,6.25,4
2,7,1,3.5,5.5
2,8,1,6,6
2,9,1,5.25,5
2,10,2,3.5,.142857142857143
2,11,2,5.25,3.5
2,12,2,5.25,5
2,13,2,5.5,5
2,14,2,6,7
2,15,2,6.5,5
2,16,2,6.5,5
2,17,2,6.5,7.5
2,18,2,5.25,5
2,19,2,5.25,5
2,20,1,6.75,.214285714285714
8,1,1,3.5,4.5
8,2,1,4.25,6.5
8,3,1,3.5,5
8,4,1,4.5,7.5
8,5,1,3.5,5.5
8,6,1,3.5,5.5
8,7,1,5,5.5
8,8,1,2.75,5.5
8,9,1,3.5,6
8,10,2,4.75,.30952380952381
8,11,2,6.75,7
8,12,2,6.25,5
8,13,2,4,3
8,14,2,5.25,7
8,15,2,6.5,5
8,16,2,6.5,5
8,17,2,4.5,5
8,18,2,6.25,4.5
8,19,2,6.25,7
8,20,1,5.25,.285714285714286
11,1,1,4.25,4.5
11,2,1,5.5,6.5
11,3,1,5.25,5.5
11,4,1,5.5,5.5
11,5,1,4.75,6.5
11,6,1,4.75,6.5
11,7,1,5.5,7
11,8,1,4.75,5
11,9,1,5.25,7.5
11,10,2,5.75,.30952380952381
11,11,2,5.25,6.5
11,12,2,3.75,4
11,13,2,4.75,4.5
11,14,2,6.5,5.5
11,15,2,3.25,2.5
11,16,2,3.25,2.5
11,17,2,4.75,3.5
11,18,2,5.25,5
11,19,2,4,3.5
11,20,1,3.75,.214285714285714
12,1,1,4.75,4
12,2,1,5.25,3
12,3,1,5.5,4.5
12,4,1,6.75,4
12,5,1,5.5,6
12,6,1,5.5,6
12,7,1,5.5,4
12,8,1,6,6
12,9,1,5.5,5.5
12,10,2,6.5,.214285714285714
12,11,2,4.5,4
12,12,2,5,2.5
12,13,2,6.25,3
12,14,2,5.75,5
12,15,2,5,4
12,16,2,5,4
12,17,2,5.25,4.5
12,18,2,6.25,3
12,19,2,4,1.5
12,20,1,5.25,.142857142857143
13,1,1,4.25,8
13,2,1,5.75,8.5
13,3,1,4.5,7.5
13,4,1,6,7
13,5,1,4.75,8.5
13,6,1,4.75,8.5
13,7,1,6,8.5
13,8,1,4,8
13,9,1,6,6.5
13,10,2,5.5,.357142857142857
13,11,2,5,8.5
13,12,2,5.5,7.5
13,13,2,5.75,8.5
13,14,2,6,6
13,15,2,4.5,7.5
13,16,2,4.5,7.5
13,17,2,5,7.5
13,18,2,4,6.5
13,19,2,5.5,7.5
13,20,1,5.25,.380952380952381
14,1,1,5.5,3.5
14,2,1,5.25,3.5
14,3,1,5.5,5.5
14,4,1,5.5,3
14,5,1,5.5,4
14,6,1,5.5,4
14,7,1,4.75,7
14,8,1,6,4.5
14,9,1,6.5,7.5
14,10,2,5.75,.214285714285714
14,11,2,5.75,4.5
14,12,2,5,5.5
14,13,2,5.25,2.5
14,14,2,6.75,5
14,15,2,5,1
14,16,2,5,1
14,17,2,5.5,3.5
14,18,2,6,3.5
14,19,2,6,3.5
14,20,1,6,.119047619047619
16,1,1,3.25,4.5
16,2,1,4.25,4
16,3,1,5.25,4.5
16,4,1,6.25,5.5
16,5,1,3.75,4.5
16,6,1,3.75,4.5
16,7,1,4.25,5
16,8,1,7.5,6
16,9,1,6.25,4.5
16,10,2,5.5,.166666666666667
16,11,2,4.75,5.5
16,12,2,4.5,2.5
16,13,2,6.75,5
16,14,2,4,3.5
16,15,2,5,1.5
16,16,2,5,1.5
16,17,2,4.75,4.5
16,18,2,2.75,5
16,19,2,4,5.5
16,20,1,6,.142857142857143
19,1,1,5.25,6
19,2,1,5.5,4.5
19,3,1,6.5,6.5
19,4,1,6.25,6.5
19,5,1,5.75,7
19,6,1,5.75,7
19,7,1,4.75,7.5
19,8,1,5.75,6.5
19,9,1,5.25,6
19,10,2,5.25,.333333333333333
19,11,2,3.5,7.5
19,12,2,4.5,5
19,13,2,5.5,4
19,14,2,5,6
19,15,2,5.25,2.5
19,16,2,5.25,2.5
19,17,2,5,6.5
19,18,2,5.25,4.5
