ParticipantID,ParticipantSex,ParticipantAge,SexOrientation,SPEAKER_HEALTH,HEALTH_RATING,DISEASE_RATING,DISFREW_RATING,DISSEV_RATING,Overall_Health_Rating,LTATT_RATING,STATT_RATING,ATT_MEAN
4,1,24,1,2,5.1,5,5.1,4.8,5,5,5.4,5.2
4,1,24,1,1,5.1,5,5.4,4.5,5,4.8,5.1,4.95
5,1,30,1,2,6.5,5.3,5.1,5,5.475,5.9,6.1,6
5,1,30,1,1,7.6,5.6,5.8,4.7,5.925,5.5,4.4,4.95
6,1,20,1,2,4.5,4.9,4.8,4.2,4.6,4,5.3,4.65
6,1,20,1,1,5.7,6.9,6.3,5.8,6.175,4.1,4.8,4.45
9,1,32,1,2,5,5,4,5,4.75,7.6,6.3,6.95
9,1,32,1,1,5,5,4.7,5,4.925,7.7,7.4,7.55
10,1,52,1,2,9,5.1,5.3,5.9,6.325,2.8,2.4,2.6
10,1,52,1,1,9,4.7,4.1,5.8,5.9,5.1,2.9,4
17,1,33,1,2,5.1,3.3,4,5.3,4.425,4.6,5.3,4.95
17,1,33,1,1,5.2,2.8,4.7,5.1,4.45,3.3,2.9,3.1
18,1,42,1,2,6.8,5.1,5.1,3.6,5.15,6.3,6.8,6.55
18,1,42,1,1,5.6,6.3,6.4,4.3,5.65,6.7,7,6.85
21,1,49,1,2,4.7,4.7,4.8,4.8,4.75,5.6,5.5,5.55
21,1,49,1,1,4.8,4.6,5.3,5.7,5.1,4.5,5.5,5
24,1,27,1,2,6,5.6,5,5.8,5.6,5.3,5.9,5.6
24,1,27,1,1,5.9,4.7,6.3,4.7,5.4,4.6,4.3,4.45
28,1,25,1,2, ,4.6,4.8,3, ,7.3,7.4,7.35
28,1,25,1,1, ,5.7,6.7,6.4, ,3.9,6.1,5
30,1,21,1,2,6.4,4.4,7.1,4.4,5.575,5,5.2,5.1
30,1,21,1,1,7.1,4.7,6.8,3.9,5.625,5.2,4.3,4.75
36,1,28,1,2,5.1,5.6,4.9,5.1,5.175,5.7,5,5.35
36,1,28,1,1,5.5,5,5.6,5.5,5.4,4.6,4.6,4.6
37,1,36,1,2,4.5,5.2,4.3,4.3,4.575,4.1,3.4,3.75
37,1,36,1,1,5.1,5.9,5.8,3.9,5.175,3.9,3.8,3.85
38,1,48,1,2,4,2.3,4,4,3.575,4.5,5.4,4.95
38,1,48,1,1,5.2,4.4,4.8,5.6,5,4,5.6,4.8
39,1,32,1,2,6.5,5.7,6.2,5.6,6,6.2,6.6,6.4
39,1,32,1,1,5.4,4.4,6,4.7,5.125,7,4.7,5.85
41,1,34,1,2,4.8,5.3,4.7,5.2,5,4.5,5.1,4.8
41,1,34,1,1,5.2,5.9,5,4.5,5.15,5.4,4.7,5.05
45,1,38,1,2,5.5,4.6,4.1,5.7,4.975,4.9,2.8,3.85
45,1,38,1,1,6,4.6,5.1,5,5.175,4.6,2.9,3.75
46,1,41,1,2,5.4,6.4,5.9,4.3,5.5,4.9,5.4,5.15
46,1,41,1,1,6.3,6.4,5.9,5.8,6.1,3.6,3.5,3.55
47,1,41,1,2,4,5.1,5.1,5.1,4.825,5.1,5,5.05
47,1,41,1,1,5.5,6.2,5.6,5,5.575,3.9,5.1,4.5
53,1,41,1,2,4.9,4.8,4.7,5.1,4.875,4.8,4.6,4.7
53,1,41,1,1,4.7,5.1,5.2,5.3,5.075,4.2,4.8,4.5
56,1,27,1,2,6.1,6.4,7.5,4.1,6.025,7.5,7.3,7.4
56,1,27,1,1,5.7,7.1,6,4.4,5.8,6.5,7.2,6.85
58,1,29,1,2,5.4,5.3,5.3,5.8,5.45,4.6,5.5,5.05
58,1,29,1,1,5.1,6,5,5.6,5.425,4.3,4.4,4.35
61,1,24,1,2,5.6,3.9,4,6.1,4.9,5.2,4.9,5.05
61,1,24,1,1,5.5,4.4,4.3,5.1,4.825,5.9,6.4,6.15
62,1,60,1,2,5.1,4.6,6.4,4.7,5.2,2.5,2.1,2.3
62,1,60,1,1,5.6,4.8,6,4.9,5.325,2.1,1.9,2
64,1,28,1,2,3.8,3.5,3.5,4.3,3.775,4.6,5.1,4.85
64,1,28,1,1,5.1,5.7,5.4,6.1,5.575,3.3,2,2.65
65,1,34,1,2,6.3,5.6,4,5.3,5.3,5.2,6.1,5.65
65,1,34,1,1,4.2,4.8,4.8,4.9,4.675,5.3,4.8,5.05
68,1,35,1,2,5.4,5.6,6.2,4.7,5.475,6.3,4.9,5.6
68,1,35,1,1,6,6,6.8,5,5.95,5.1,5.4,5.25
69,1,57,1,2,3.9,4.8,3.7,5.2,4.4,4.8,5.5,5.15
69,1,57,1,1,5.6,5,6,5.6,5.55,3.4,3.1,3.25
76,1,29,1,2,4.9,5,4.8,5.2,4.975,5.2,2.3,3.75
76,1,29,1,1,4.9,4.9,4.6,5,4.85,5.1,2,3.55
78,1,43,1,2,6,5.1,5.4,5,5.375,5,5.7,5.35
78,1,43,1,1,6.3,5.2,5.5,4.7,5.425,5.1,6.5,5.8
80,1,36,1,2, ,4.4,6.2,5.1, ,4.5,5.6,5.05
80,1,36,1,1, ,2.9,6.9,6.8, ,4.4,5.4,4.9
83,1,26,1,2,5.8,3.7,3.2,6.3,4.75,6.5,5.9,6.2
83,1,26,1,1,6.3,3.6,3.6,7.2,5.175,6.5,5.8,6.15
85,1,45,1,2,4.3,5.6,4.2,4.4,4.625,4.6,4.2,4.4
85,1,45,1,1,6.8,6.2,6.3,6.5,6.45,3.3,2.8,3.05
86,1,35,1,2,4.5,5.9,5.6,6.2,5.55,4.8,4.7,4.75
86,1,35,1,1,5.5,4.9,6.3,5.8,5.625,5,5,5
87,1,44,1,2,5.7,7.2,7.4,6.2,6.625,3.1,1,2.05
87,1,44,1,1,5.9,5.9,6.3,5.1,5.8,4.4,1,2.7
88,1,31,1,2,5.1,7.1,5.3,6.8,6.075,4.7,6.1,5.4
88,1,31,1,1,5.4,7.5,5,4.5,5.6,4.6,5.8,5.2
89,1,26,1,2,6,6.5,6,5.8,6.075,5.8,6.7,6.25
89,1,26,1,1,6.7,6.9,6.8,5.9,6.575,6.7,7.4,7.05
90,1,35,1,2,5.7,5.5,5.5,4.8,5.375,4.8,4.8,4.8
90,1,35,1,1,5.2,5.4,5.5,5.5,5.4,4.4,5,4.7
91,1,29,1,2,4.8,3.7,4.3,6.1,4.725,3.9,4.9,4.4
91,1,29,1,1,7.7,6.4,6.1,6.5,6.675,2.4,5.6,4
92,1,55,1,2,3.5,5,5.1,5.2,4.7,6.3,5.2,5.75
92,1,55,1,1,6.4,6.6,5.7,4.6,5.825,5.4,4.9,5.15
98,1,40,1,2,6.7,6.8,5.4,5.2,6.025,6.8,5.4,6.1
98,1,40,1,1,6.3,6.3,4.9,4.5,5.5,6,5.7,5.85
99,1,35,1,2,5.3,5.9,5.4,3.9,5.125,3.5,3.1,3.3
99,1,35,1,1,6.7,7.6,6.8,6,6.775,2.7,1.4,2.05
102,1,32,1,2,4.9,6,5,5.2,5.275,5.6,6.3,5.95
102,1,32,1,1,5,6,5,5.6,5.4,4.7,5.7,5.2
103,1,35,1,2,4.3,4.5,4.7,4.5,4.5,4.7,5.4,5.05
103,1,35,1,1,4.9,4.9,5.1,4.8,4.925,3.7,4.3,4
107,1,28,1,2,4.1,3.9,5.1,6.1,4.8,5.6,4.4,5
107,1,28,1,1,5.7,5.4,6.2,5.2,5.625,3.7,4.6,4.15
108,1,59,1,2,7.1,4.7,5.7,3.9,5.35,3.9,4.8,4.35
108,1,59,1,1,8.4,7.2,7.1,6.6,7.325,3.9,5.5,4.7
110,1,46,1,2,6.9,3.6,4.5,4.1,4.775,3.2,3,3.1
110,1,46,1,1,6.9,5.2,4.8,4.6,5.375,2.4,2.6,2.5
111,1,31,1,2,5.6,4.7,6.1,6,5.6,5.4,6.3,5.85
111,1,31,1,1,5.9,4.8,5,4.7,5.1,4.9,4.6,4.75
112,1,32,1,2,5.3,5.5,5,4.8,5.15,4.8,4.6,4.7
112,1,32,1,1,4.4,6.1,5.5,4,5,3.5,3.6,3.55
114,1,41,1,2,5.2,5.8,5.1,3.7,4.95,5.3,5,5.15
114,1,41,1,1,5.2,5.7,4.6,4.1,4.9,5.4,5,5.2
115,1,21,1,2,3.8,4.8,4.3,5.4,4.575,6.8,6.2,6.5
115,1,21,1,1,7.4,3.8,4.7,6.2,5.525,4.8,5.6,5.2
121,1,34,1,2,3.7,3.5,5.4,5,4.4,5.3,6.4,5.85
121,1,34,1,1,6.8,5.9,7.1,4.1,5.975,4.1,5.5,4.8
123,1,28,1,2,4.4,4.5,5.4,6,5.075,4.5,4,4.25
123,1,28,1,1,5.8,5.9,6.2,5.2,5.775,3.4,3.4,3.4
127,1,55,1,2,5,3.2,2.3,3.4,3.475,5,6.6,5.8
127,1,55,1,1,6.4,4.3,4.9,4.7,5.075,4.4,4.7,4.55
129,1,39,1,2,5,5.5,4.3,6.2,5.25,4.3,3.5,3.9
129,1,39,1,1,5.1,5.5,4.8,4.6,5,4,3.7,3.85
