ParticipantID,ParticipantSex,ParticipantAge,SexOrientation,SPEAKER_HEALTH,PHYSICAL_RATING,SOCIAL_RATING,DOM_MEAN,HEALTH_RATING,DISEASE_RATING,DISFREW_RATING,DISSEV_RATING,Overall_Health_Rating
2,0,30,1,1,4.3,5,4.65,5.5,6.4,5.6,5.9,5.85
2,0,30,1,2,5.7,4.8,5.25,4.3,5.3,4.7,4.6,4.725
8,0,33,1,1,5.9,6.1,6,6,5.4,5.3,5.9,5.65
8,0,33,1,2,5,5.8,5.4,4.1,3.4,3.7,4.9,4.025
11,0,56,1,1,6.5,5.7,6.1,4.8,4.9,4.6,4.1,4.6
11,0,56,1,2,4.2,4.6,4.4,5.8,5.7,4.9,4.6,5.25
12,0,23,1,1,4.4,4.9,4.65,5.4,5.8,5.5,4.1,5.2
12,0,23,1,2,3.5,3.5,3.5,6,6.7,5.7,4.7,5.775
13,0,26,1,1,7.7,7.9,7.8,6.3,3,3.6,7.8,5.175
13,0,26,1,2,7.4,7.5,7.45,7.6,2.5,3.1,7.4,5.15
14,0,27,1,1,4.9,4.7,4.8,6,5.1,6.8,5.1,5.75
14,0,27,1,2,3,4,3.5,6.5,3.9,6.7,5.2,5.575
16,0,33,1,1,5.6,4.1,4.85,4.5,5.1,5.3,4.3,4.8
16,0,33,1,2,3.6,4.8,4.2,4.8,5.4,4.9,5.7,5.2
19,0,31,1,1,6.7,5.9,6.3,5,4,5.1,5.8,4.975
19,0,31,1,2,4.8,5.3,5.05,5.6,5.9,5.4,5.3,5.55
20,0,26,1,1,6,4.8,5.4,6.3,4.8,5.1,5.8,5.5
20,0,26,1,2,4.7,6.1,5.4,4.2,5,4.6,5.3,4.775
22,0,32,1,1,5.7,6,5.85,4.6,4.9,4.5,5.2,4.8
22,0,32,1,2,3.9,4.3,4.1,5.4,5.2,5.1,6,5.425
23,0,29,1,1,5,4.4,4.7,4,5.3,6.4,4.2,4.975
23,0,29,1,2,4.3,4.5,4.4,4.4,5.3,5.8,4.6,5.025
25,0,28,1,1,5.2,5.5,5.35,5.4,4.7,5.5,5.2,5.2
25,0,28,1,2,5.1,4.3,4.7,5.7,6.3,6.4,6.4,6.2
26,0,28,1,1,6.7,7.1,6.9,3.9,3.8,4.4,3.9,4
26,0,28,1,2,6.6,6.4,6.5,4,3.5,4.1,4.1,3.925
27,0,26,1,1, ,6.2, ,6,5.7,5.4,4.9,5.5
27,0,26,1,2,6.1,6.3,6.2,5.6,5.1,5.3,4.7,5.175
29,0,46,1,1,5.6,5,5.3,7.2,5,5.9,5.9,6
29,0,46,1,2,4.6,4.8,4.7,7.7,5.2,6.4,6.2,6.375
31,0,36,1,1,5.6,7.4,6.5,6.4,5.9,6.4,5.1,5.95
31,0,36,1,2,3.3,4.2,3.75,5.1,4.2,4.7,4.7,4.675
32,0,27,1,1,6.1,5.7,5.9,5.2,3.4,4.8,5.1,4.625
32,0,27,1,2,5.1,4.3,4.7,5.2,4.5,5.1,4.6,4.85
33,0,25,3,1,4.9,5.1,5,4.4,4.5,4.6,5.3,4.7
33,0,25,3,2,4.1,4.3,4.2,6.3,5.4,5,6.1,5.7
34,0,37,2,1,5.8,5.3,5.55,5.3,4.6,5.5,4.8,5.05
34,0,37,2,2,4,4.5,4.25,5.4,4.9,4.9,5.1,5.075
35,0,51,1,1,5.3,4,4.65,4.5,4.9,4.3,4.5,4.55
35,0,51,1,2,4.3,5.4,4.85,5.5,5.4,5.4,6.6,5.725
40,0,21,1,1,5.7,5.6,5.65,4.9,6.8,6.1,5.8,5.9
40,0,21,1,2,4.1,3.5,3.8,4.4,7,7.2,3.8,5.6
43,0,33,3,1,3.7,6,4.85,4.3,6,6.6,4.4,5.325
43,0,33,3,2,4.4,4.3,4.35,4.6,4.8,5.5,4.2,4.775
44,0,26,1,1,7.3,8,7.65,7.6,2.3,2,7.4,4.825
44,0,26,1,2,7.8,8.4,8.1,6.5,1.6,2,7.3,4.35
48,0,27,1,1,5.7,5,5.35,5.6,5.6,6.2,6.6,6
48,0,27,1,2,5.3,5.1,5.2,6.2,5.5,5.8,5.7,5.8
50,0,33,1,1,5.9,6,5.95,5.7,3.3,4.9,5,4.725
50,0,33,1,2,5,4.6,4.8,5.1,6.4,6.8,6.4,6.175
51,0,35,1,1,6.5,4.6,5.55,5.6,4.9,5.5,4.7,5.175
51,0,35,1,2,4.5,5.4,4.95,5,4.6,5.2,5.6,5.1
54,0,29,1,1,6,6.5,6.25,4.6,4.6,4.5,4,4.425
54,0,29,1,2,4.2,4.5,4.35,5.5,5.1,5.9,5.3,5.45
55,0,21,1,1,5.7,5.7,5.7,5.8,3.5,4.3,4.5,4.525
55,0,21,1,2,3.2,4.1,3.65,4.9,4.8,4.2,4.7,4.65
57,0,26,1,1,7.2,6.2,6.7,5.8,5.9,5.9,5.5,5.775
57,0,26,1,2,4.8,4.3,4.55,5.6,7.1,5.9,6.2,6.2
60,0,30,1,1,5.6,5.8,5.7,5,5.3,5.6,5.8,5.425
60,0,30,1,2,5.9,4.3,5.1,5.8,5.8,5.1,5.3,5.5
63,0,30,1,1,6.9,6.2,6.55,6.2,5.1,6.5,4.3,5.525
63,0,30,1,2,5.8,4.8,5.3,6.3,4.8,4.9,4.3,5.075
66,0,35,1,1,5.3,5.8,5.55,4.7,6.1,4.7,3.3,4.7
66,0,35,1,2,3.8,5.2,4.5,4.8,5.9,6.3,5.4,5.6
67,0,23,1,1,4.3,4.1,4.2,5.2,4.6,3.9,6.3,5
67,0,23,1,2,3.8,4.3,4.05,4.7,5.6,4,6.9,5.3
70,0,23,1,1,5,5.6,5.3,5.2,3.9,6.3,5.1,5.125
70,0,23,1,2,4.4,6,5.2,5.8,3.8,6.4,5,5.25
71,0,31,1,1,5.9,4.8,5.35,4.7,4.1,4.7,5.2,4.675
71,0,31,1,2,4.3,5.1,4.7,6.2,5,5,5.4,5.4
72,0,27,1,1,6.2,6.1,6.15,6.4,4.2,4,4.9,4.875
72,0,27,1,2,5,5.1,5.05,5.9,5,5.8,5.9,5.65
73,0,32,1,1,3.7,4,3.85,4.9,5.5,5.2,4.1,4.925
73,0,32,1,2,3.4,3.8,3.6,4.8,5.9,5,4.9,5.15
74,0,34,1,1,6.3,5.9,6.1,6.8,5,6.9,5.5,6.05
74,0,34,1,2,4.8,5.1,4.95,7,5,6,4.9,5.725
75,0,28,1,1,7.1,6.9,7,4.3,3.1,5.5,6.1,4.75
75,0,28,1,2,6.9,6.9,6.9,4.8,2.8,6.2,5.9,4.925
77,0,25,3,1,4.6,4.5,4.55,4.6, ,4.8,5.4, 
77,0,25,3,2,4.6,4.8,4.7,4.9,4.9,5.1,5,4.975
79,0,27,1,1,5.9,6,5.95,7,4.7,4.9,4.7,5.325
79,0,27,1,2,4.8,5.5,5.15,7,5.3,5.5,5.5,5.825
93,0,27,1,1,4.9,6.1,5.5,4.9,3.3,4.3,4.7,4.3
93,0,27,1,2,3.1,4.7,3.9,5,5.1,4.8,5.7,5.15
96,0,49,1,1,4.6,4.8,4.7,3.7,7.1,4.3,4,4.775
96,0,49,1,2,4.6,3.8,4.2,5.4,7.6,5,5.5,5.875
97,0,27,1,1,8,5.2,6.6,7.8,2.5,3.2,6.8,5.075
97,0,27,1,2,8.1,5.4,6.75,7.7,3.1,2.7,6.9,5.1
100,0,38,1,1,5.4,5.6,5.5,5,6.4,4.8,5.3,5.375
100,0,38,1,2,5.6,4.3,4.95,5.5,5.8,5,5.1,5.35
101,0,51,1,1,6,6.3,6.15,4.8,4.8,4,4.4,4.5
101,0,51,1,2,4.5,4.9,4.7,5.7,5.9,5.2,5.6,5.6
104,0,25,1,1,5.8,5.7,5.75,5.1,4.3,4.5,2.9,4.2
104,0,25,1,2,4.3,3.3,3.8,4.4,5.4,6.1,4.1,5
105,0,62,1,1,5.5,5.1,5.3,4.5,5.4,5.4,4.5,4.95
105,0,62,1,2,4.4,5.2,4.8,5.1,6.3,5.7,5.3,5.6
106,0,35,1,1,5.5,5.3,5.4,4.9,4.5,4.4,5.3,4.775
106,0,35,1,2,3.9,4.1,4,5.2,4.6,4.9,4.5,4.8
109,0,26,1,1,5,5.9,5.45,4.7,4.7,4.2,5.4,4.75
109,0,26,1,2,4.9,5.5,5.2,4.2,4.7,5.3,5.4,4.9
113,0,28,1,1,7.9,7.2,7.55,7.5,4.4,2.7,7.4,5.5
113,0,28,1,2,7.4,8.4,7.9,8,3,2.6,7.5,5.275
116,0,29,1,1,5.7,5.9,5.8,5.6,3.8,4.7,5.7,4.95
116,0,29,1,2,5.9,5.6,5.75,5.7,4.1,3.7,5.2,4.675
117,0,26,3,1,4.5,4.9,4.7,3.7,4.5,3.8,4.5,4.125
117,0,26,3,2,5.5,4.5,5,5,4.6,5.6,4.9,5.025
118,0,29,3,1,6.2,7.2,6.7,7,7.8,7.4,7.4,7.4
118,0,29,3,2,6.3,6.8,6.55,7.2,8.3,7.6,6.7,7.45
119,0,35,1,1,6.1,6.7,6.4,5.5,5.8,5.7,5.6,5.65
119,0,35,1,2,4.5,6.5,5.5,6.2,6.8,5.9,4.8,5.925
120,0,30,2,1,5.3,5.8,5.55,5.5,5.7,4.3,4.3,4.95
120,0,30,2,2,3.7,4.3,4,6.5,6.1,5.2,5.3,5.775
122,0,26,1,1,5.3,5.7,5.5,5,4.4,3.7,5.7,4.7
122,0,26,1,2,5,5.8,5.4,5,4.8,4.2,6.3,5.075
124,0,32,2,1,5.2,5.3,5.25,6.4,5,5.7,4.5,5.4
124,0,32,2,2,4.7,5.1,4.9,7.1,5.7,5.3,5.2,5.825
125,0,32,1,1,5.8,6.4,6.1,4.9,5.1,4.8,4.8,4.9
125,0,32,1,2,5.5,4.9,5.2,6.7,5.5,5.3,5.5,5.75
126,0,32,1,1,6.5,5.7,6.1, ,7.1,5.1,4.3, 
126,0,32,1,2,5.7,5.1,5.4, ,4.1,5.3,4.9, 
128,0,29,1,1,5,5,5,5,5,4.6,5,4.9
128,0,29,1,2,5,5,5,4.9,4.9,5,5,4.95
