ParticipantID,ParticipantSex,ParticipantAge,VOICE_NUMBER,PITCH_MANIPULATION,HEALTH_F0,DISEASE_LIKELIHOOD_F0,ILLNESS_FREQUENCY_F0,ILLNESS_SEVERITY_F0,LTR_F0,STR_F0
10,1,33,1,1,2,6,7,4,1,4
10,1,33,2,1,4,5,4,5,5,7
10,1,33,3,1,9,2,3,5,9,9
10,1,33,4,1,7,3,2,2,5,9
10,1,33,5,2,3,6,4,6,1,1
10,1,33,6,2,1,8,6,2,1,1
10,1,33,7,2,7,3,1,5,7,8
10,1,33,8,2,8,6,3,4,6,3
71,1,49,1,1,6,2,1,4,1,5
71,1,49,2,1,5,7,2,3,7,3
71,1,49,3,1,9,7,3,8,3,8
71,1,49,4,1,9,2,2,8,7,8
71,1,49,5,2,4,7,6,3,4,5
71,1,49,6,2,3,7,7,2,1,2
71,1,49,7,2,8,1,4,8,8,7
71,1,49,8,2,7,3,3,7,6,6
23,1,34,1,1,4,8,7,1,2,2
23,1,34,2,1,7,5,4,4,2,1
23,1,34,3,1,8,7,4,8,9,8
23,1,34,4,1,9,2,2,6,9,8
23,1,34,5,2,2,7,7,4,3,6
23,1,34,6,2,3,5,5,3,3,1
23,1,34,7,2,5,3,2,8,7,8
23,1,34,8,2,8,4,8,7,8,7
37,1,33,1,1,6,7,6,5,2,6
37,1,33,2,1,7,3,5,6,8,9
37,1,33,3,1,6,2,2,6,7,7
37,1,33,4,1,5,3,5,7,6,7
37,1,33,5,2,5,4,7,3,3,2
37,1,33,6,2,6,6,7,6,2,6
37,1,33,7,2,7,3,4,5,6,9
37,1,33,8,2,4,4,3,8,3,6
20,1,32,1,1,4,5,6,6,3,5
20,1,32,2,1,8,2,6,7,8,7
20,1,32,3,1,6,2,5,9,8,8
20,1,32,4,1,3,5,6,8,4,5
20,1,32,5,2,3,6,5,2,2,3
20,1,32,6,2,2,7,6,6,5,5
20,1,32,7,2,7,2,2,8,8,8
20,1,32,8,2,3,4,5,6,4,4
32,1,50,1,1,6,6,4,1,3,2
32,1,50,2,1,3,7,5,3,3,2
32,1,50,3,1,8,2,3,8,8,8
32,1,50,4,1,6,5,2,6,9,6
32,1,50,5,2,3,6,7,3,3,2
32,1,50,6,2,3,8,9,2,2,1
32,1,50,7,2,8,2,2,7,7,8
32,1,50,8,2,6,4,4,5,6,5
40,1,26,1,1,6,1,6,5,3,3
40,1,26,2,1,9,1,3,7,7,6
40,1,26,3,1,7,1,4,7,6,6
40,1,26,4,1,8,1,4,9,8,8
40,1,26,5,2,8,1,4,1,2,5
40,1,26,6,2,7,1,3,8,6,4
40,1,26,7,2,7,8,4,3,5,6
40,1,26,8,2,9,1,3,3,5,6
61,1,35,1,1,4,7,8,6,3,4
61,1,35,2,1,3,2,6,4,3,6
61,1,35,3,1,7,3,6,3,3,5
61,1,35,4,1,8,3,8,2,5,8
61,1,35,5,2,4,5,5,4,3,1
61,1,35,6,2,6,6,3,3,6,5
61,1,35,7,2,6,2,3,7,2,6
61,1,35,8,2,4,2,2,3,4,4
87,1,32,1,1,5,5,5,4,3,5
87,1,32,2,1,6,6,6,5,7,6
87,1,32,3,1,5,5,4,5,4,6
87,1,32,4,1,5,6,5,7,3,2
87,1,32,5,2,3,5,7,5,5,6
87,1,32,6,2,2,6,7,3,6,4
87,1,32,7,2,7,5,5,5,5,5
87,1,32,8,2,6,3,2,6,3,5
3,1,37,1,1,4,7,7,3,4,2
3,1,37,2,1,4,5,3,6,8,8
3,1,37,3,1,7,4,4,2,9,7
3,1,37,4,1,8,3,3,3,4,8
3,1,37,5,2,5,7,4,1,1,1
3,1,37,6,2,3,4,3,4,6,2
3,1,37,7,2,5,4,3,4,6,2
3,1,37,8,2,5,6,8,4,1,2
22,1,41,1,1,7,3,3,7,4,5
22,1,41,2,1,6,4,2,7,2,2
22,1,41,3,1,9,3,2,6,5,4
22,1,41,4,1,7,3,3,8,6,4
22,1,41,5,2,4,6,5,8,3,3
22,1,41,6,2,2,5,7,4,2,2
22,1,41,7,2,7,5,2,7,4,3
22,1,41,8,2,6,3,3,4,4,4
30,1,41,1,1,6,5,5,5,4,5
30,1,41,2,1,4,5,7,6,7,7
30,1,41,3,1,8,5,5,8,8,8
30,1,41,4,1,7,5,7,8,7,5
30,1,41,5,2,6,5,3,3,6,5
30,1,41,6,2,7,5,3,7,7,7
30,1,41,7,2,8,5,5,4,6,8
30,1,41,8,2,4,5,4,5,3,3
36,1,44,1,1,4,5,5,5,4,2
36,1,44,2,1,3,5,5,5,5,2
36,1,44,3,1,7,5,5,5,6,7
36,1,44,4,1,4,5,5,5,6,4
36,1,44,5,2,6,5,5,5,3,2
36,1,44,6,2,4,5,5,5,2,4
36,1,44,7,2,6,5,5,5,2,6
